HJD-2450000	I_Mag	Err
5611.858190000057	16.352	0.009
5612.873430000152	16.338	0.009
5614.8588499999605	16.357	0.007
5615.867180000059	16.351	0.007
5616.86043999996	16.357	0.008
5620.848269999959	16.336	0.007
5621.851110000163	16.354	0.006
5622.888819999993	16.353	0.005
5624.843799999915	16.344	0.007
5625.822929999791	16.343	0.007
5626.823669999838	16.339	0.009
5627.847190000117	16.374	0.007
5628.857890000101	16.366	0.007
5629.82610000018	16.343	0.008
5630.803509999998	16.347	0.007
5631.831470000092	16.345	0.009
5632.838570000138	16.345	0.007
5633.79581000004	16.352	0.006
5634.850680000149	16.375	0.008
5635.8599000000395	16.358	0.008
5637.819790000096	16.338	0.009
5638.797989999875	16.375	0.008
5639.795630000066	16.357	0.007
5639.871199999936	16.359	0.007
5640.78910999978	16.344	0.009
5640.827459999826	16.343	0.008
5640.875140000135	16.339	0.007
5640.916009999812	16.337	0.01
5641.781930000056	16.338	0.008
5641.824330000207	16.335	0.007
5641.862490000203	16.355	0.007
5641.907199999783	16.34	0.008
5642.78423999995	16.352	0.007
5642.8432800001465	16.37	0.007
5642.90316000022	16.368	0.008
5643.766960000154	16.337	0.007
5643.8052400001325	16.351	0.007
5643.864990000147	16.359	0.006
5643.906229999848	16.355	0.007
5644.774689999875	16.349	0.009
5644.81539000012	16.349	0.009
5644.885950000025	16.329	0.007
5647.803439999931	16.334	0.008
5647.848799999803	16.355	0.007
5647.858889999799	16.359	0.007
5647.879069999792	16.351	0.008
5647.89506000001	16.356	0.008
5648.756589999888	16.34	0.007
5648.821990000084	16.336	0.006
5648.864109999966	16.358	0.006
5648.909440000076	16.361	0.008
5649.762999999803	16.343	0.007
5649.804980000015	16.348	0.006
5649.8694000002	16.35	0.006
5649.907639999874	16.347	0.007
5650.754780000076	16.366	0.007
5650.817259999923	16.354	0.006
5650.861370000057	16.334	0.006
5650.910219999962	16.356	0.006
5651.775390000083	16.348	0.007
5651.818429999985	16.345	0.007
5651.894619999919	16.353	0.006
5652.755460000131	16.346	0.006
5652.81876999978	16.34	0.006
5652.860679999925	16.343	0.006
5653.7755900002085	16.353	0.006
5653.904629999772	16.356	0.005
5654.777929999866	16.345	0.007
5654.827229999937	16.343	0.006
5654.868710000068	16.344	0.007
5655.73769999994	16.361	0.007
5655.776810000185	16.351	0.007
5655.814759999979	16.362	0.007
5655.8555600000545	16.339	0.006
5655.905259999912	16.328	0.007
5656.797199999914	16.353	0.006
5656.838080000132	16.347	0.006
5656.924500000197	16.348	0.007
5657.7859700000845	16.353	0.006
5657.82696999982	16.342	0.006
5657.872460000217	16.348	0.006
5657.916840000078	16.336	0.006
5658.78284	16.332	0.008
5658.820830000099	16.333	0.008
5658.823570000008	16.345	0.007
5658.839860000182	16.348	0.007
5658.878250000067	16.351	0.007
5658.919389999937	16.341	0.008
5659.73451999994	16.354	0.006
5659.772129999939	16.355	0.007
5659.811429999769	16.364	0.007
5659.853269999847	16.344	0.007
5659.901649999898	16.353	0.007
5660.725690000225	16.362	0.008
5660.773060000036	16.35	0.007
5660.81640999997	16.365	0.007
